probable_cause,cause count
failure to maintain directional control during landing.,1621
total loss of engine power.,1229
partial loss of engine power ,539
improper landing flare which resulted in a hard landing.",301
failure to maintain directional control during takeoff.,296
failure to extend the landing gear before landing.,205
improper recovery from a bounced landing.,139
total loss of engine power due to fuel exhaustion.,133
an inadvertent encounter with clear air turbulence.,72
An in-flight collision with a bird.,59
fuel starvation.,60
crosswind.,61
gusting wind conditions.,53
convective turbulence.,55
total loss of engine power due to carburetor icing.,48
total loss of engine power during initial climb for undetermined reasons.,35
The airplane’s collision with a deer on the runway during landing.,6
